Dataset,Record,Variable,Value
AE,4,AEDTC,Not in dataset
AE,4,AEDY,Not in dataset
AE,4,RFSTDTC,2005-10
DM,2,DMDTC,Not in dataset
DM,2,DMDY,Not in dataset
DM,2,RFSTDTC,2005-10
DM,3,DMDTC,Not in dataset
DM,3,DMDY,Not in dataset
DM,3,RFSTDTC,
DM,4,DMDTC,Not in dataset
DM,4,DMDY,Not in dataset
DM,4,RFSTDTC,
DM,5,DMDTC,Not in dataset
DM,5,DMDY,Not in dataset
DM,5,RFSTDTC,
EX,54,EXDTC,Not in dataset
EX,54,EXDY,Not in dataset
EX,54,RFSTDTC,2005-10
EX,55,EXDTC,Not in dataset
EX,55,EXDY,Not in dataset
EX,55,RFSTDTC,
LB,1,LBDTC,2005-09
LB,1,LBDY,
LB,1,RFSTDTC,2005-10-13T10:15
LB,2,LBDTC,2005-10
LB,2,LBDY,
LB,2,RFSTDTC,2005-10-13T10:15
LB,17,LBDTC,2005-10-13
LB,17,LBDY,
LB,17,RFSTDTC,2005-10
LB,18,LBDTC,2005-10-20
LB,18,LBDY,
LB,18,RFSTDTC,2005-10
LB,19,LBDTC,2005-12-01
LB,19,LBDY,
LB,19,RFSTDTC,2005-10
LB,20,LBDTC,2006-01-05
LB,20,LBDY,
LB,20,RFSTDTC,2005-10
LB,21,LBDTC,2006-02-09
LB,21,LBDY,
LB,21,RFSTDTC,2005-10
LB,22,LBDTC,2006-02-16
LB,22,LBDY,
LB,22,RFSTDTC,2005-10
LB,23,LBDTC,2006-02-23
LB,23,LBDY,
LB,23,RFSTDTC,2005-10
LB,24,LBDTC,2006-03-02
LB,24,LBDY,
LB,24,RFSTDTC,2005-10
LB,25,LBDTC,2006-04-13
LB,25,LBDY,
LB,25,RFSTDTC,2005-10
LB,26,LBDTC,2006-05-13
LB,26,LBDY,
LB,26,RFSTDTC,2005-10
LB,27,LBDTC,2005-09-28
LB,27,LBDY,
LB,27,RFSTDTC,2005-10
LB,28,LBDTC,2005-10-13
LB,28,LBDY,
LB,28,RFSTDTC,2005-10
LB,29,LBDTC,2006-03-02
LB,29,LBDY,
LB,29,RFSTDTC,2005-10
LB,30,LBDTC,2006-05-13
LB,30,LBDY,
LB,30,RFSTDTC,2005-10
LB,31,LBDTC,2005-09-28
LB,31,LBDY,
LB,31,RFSTDTC,2005-10
LB,32,LBDTC,2005-10-13
LB,32,LBDY,
LB,32,RFSTDTC,2005-10
LB,33,LBDTC,2006-03-02
LB,33,LBDY,
LB,33,RFSTDTC,2005-10
LB,34,LBDTC,2006-05-13
LB,34,LBDY,
LB,34,RFSTDTC,2005-10
LB,35,LBDTC,2005-09-28
LB,35,LBDY,
LB,35,RFSTDTC,2005-10
LB,36,LBDTC,2005-10-13
LB,36,LBDY,
LB,36,RFSTDTC,2005-10
LB,37,LBDTC,2006-03-02
LB,37,LBDY,
LB,37,RFSTDTC,2005-10
LB,38,LBDTC,2006-05-13
LB,38,LBDY,
LB,38,RFSTDTC,2005-10
LB,39,LBDTC,2005-09-28
LB,39,LBDY,
LB,39,RFSTDTC,2005-10
LB,40,LBDTC,2005-10-13
LB,40,LBDY,
LB,40,RFSTDTC,2005-10
LB,41,LBDTC,2006-03-02
LB,41,LBDY,
LB,41,RFSTDTC,2005-10
LB,42,LBDTC,2006-05-13
LB,42,LBDY,
LB,42,RFSTDTC,2005-10
LB,43,LBDTC,2005-09-28
LB,43,LBDY,
LB,43,RFSTDTC,2005-10
LB,44,LBDTC,2005-10-13
LB,44,LBDY,
LB,44,RFSTDTC,2005-10
LB,45,LBDTC,2006-03-02
LB,45,LBDY,
LB,45,RFSTDTC,2005-10
LB,46,LBDTC,2006-05-13
LB,46,LBDY,
LB,46,RFSTDTC,2005-10
