Dataset,Record,Variable,Value
cm.csv,1,CMPRESP,
cm.csv,1,CMOCCUR,Y
cm.csv,2,CMPRESP,
cm.csv,2,CMOCCUR,N
cm.csv,3,CMPRESP,
cm.csv,3,CMOCCUR,Y
ec.csv,1,ECOCCUR,Y
ec.csv,1,ECPRESP,Not in dataset
ec.csv,2,ECOCCUR,N
ec.csv,2,ECPRESP,Not in dataset
ec.csv,3,ECOCCUR,Y
ec.csv,3,ECPRESP,Not in dataset
em.csv,1,EMPRESP,N
em.csv,1,EMOCCUR,Y
em.csv,2,EMPRESP,YES
em.csv,2,EMOCCUR,Y
em.csv,3,EMPRESP,
em.csv,3,EMOCCUR,Y
mh.csv,1,MHOCCUR,Y
mh.csv,1,MHPRESP,
mh.csv,2,MHOCCUR,Y
mh.csv,2,MHPRESP,
mh.csv,3,MHOCCUR,Y
mh.csv,3,MHPRESP,
mh.csv,4,MHOCCUR,N
mh.csv,4,MHPRESP,
