dataset,variable,label,type,length
dm.xpt,STUDYID,Study Identifier,Char,12
dm.xpt,DOMAIN,Domain Abbreviation,Char,2
dm.xpt,USUBJID,Unique Subject Identifier,Char,8
dm.xpt,SUBJID,Subject Identifier for the Study,Char,4
dm.xpt,RFSTDTC,Subject Reference Start Date/Time,Char,19
dm.xpt,RFENDTC,Subject Reference End Date/Time,Char,19
dm.xpt,RFXSTDTC,Date/Time of First Study Treatment,Char,19
dm.xpt,RFXENDTC,Date/Time of Last Study Treatment,Char,19
dm.xpt,RFCSTDTC,Date/Time of First Challenge Agent Admin,Char,19
dm.xpt,RFCENDTC,Date/Time of Last Challenge Agent Admin,Char,19
dm.xpt,RFICDTC,Date/Time of Informed Consent,Char,19
dm.xpt,RFPENDTC,Date/Time of End of Participation,Char,19
dm.xpt,DTHDTC,Date/Time of Death,Char,19
dm.xpt,DTHFL,Subject Death Flag,Char,1
dm.xpt,SITEID,Study Site Identifier,Char,3
dm.xpt,BRTHDTC,Date/Time of Birth,Char,19
dm.xpt,AGE,Age,Num,8
dm.xpt,AGEU,Age Units,Char,5
dm.xpt,SEX,Sex,Char,1
dm.xpt,RACE,Race,Char,41
dm.xpt,ETHNIC,Ethnicity,Char,22
dm.xpt,ARMCD,Planned Arm Code,Char,8
dm.xpt,ARM,Description of Planned Arm,Char,28
dm.xpt,ACTARMCD,Actual Arm Code,Char,8
dm.xpt,ACTARM,Description of Actual Arm,Char,28
dm.xpt,ARMNRS,Reason Arm and/or Actual Arm is Null,Char,14
dm.xpt,ACTARMUD,Description of Unplanned Actual Arm,Char,200
dm.xpt,COUNTRY,Country,Char,3
