Dataset,Record,Variable,Value
FT,1,VISITDY,56.0
FT,1,VISITNUM,300.0
FT,2,VISITDY,56.0
FT,2,VISITNUM,300.0
FT,3,VISITDY,56.0
FT,3,VISITNUM,300.0
FT,4,VISITDY,56.0
FT,4,VISITNUM,300.0
FT,5,VISITDY,56.0
FT,5,VISITNUM,300.0
FT,6,VISITDY,56.0
FT,6,VISITNUM,300.0
FT,7,VISITDY,56.0
FT,7,VISITNUM,300.0
FT,8,VISITDY,56.0
FT,8,VISITNUM,300.0
FT,9,VISITDY,56.0
FT,9,VISITNUM,300.0
FT,10,VISITDY,56.0
FT,10,VISITNUM,300.0
FT,11,VISITDY,56.0
FT,11,VISITNUM,300.0
FT,12,VISITDY,56.0
FT,12,VISITNUM,300.0
FT,13,VISITDY,56.0
FT,13,VISITNUM,300.0
FT,14,VISITDY,56.0
FT,14,VISITNUM,300.0
FT,15,VISITDY,56.0
FT,15,VISITNUM,300.0
FT,16,VISITDY,56.0
FT,16,VISITNUM,300.0
FT,17,VISITDY,56.0
FT,17,VISITNUM,300.0
