Dataset,Record,Variable,Value
EX,42,EXENDTC,2013-01-10
EX,42,$max_dsstdtc,2013-01-09
EX,43,EXENDTC,2013-01-11
EX,43,$max_dsstdtc,2013-01-09
EX,44,EXENDTC,2013-01-12
EX,44,$max_dsstdtc,2013-01-09
EX,45,EXENDTC,2013-01-13
EX,45,$max_dsstdtc,2013-01-09
EX,50,EXENDTC,2013-12-18
EX,50,$max_dsstdtc,2013-12-17
EX,51,EXENDTC,2013-12-19
EX,51,$max_dsstdtc,2013-12-17
EX,52,EXENDTC,2013-12-20
EX,52,$max_dsstdtc,2013-12-17
EX,53,EXENDTC,2013-12-21
EX,53,$max_dsstdtc,2013-12-17
EX,54,EXENDTC,2013-12-22
EX,54,$max_dsstdtc,2013-12-17
EX,55,EXENDTC,2013-12-23
EX,55,$max_dsstdtc,2013-12-17
