Dataset,Record,Variable,Value
ae.xpt,1,POOLID,CDISC001
ae.xpt,1,AESEQ,2
ae.xpt,1,USUBJID,Not in dataset
ae.xpt,2,POOLID,CDISC001
ae.xpt,2,AESEQ,2
ae.xpt,2,USUBJID,Not in dataset
cm.xpt,1,CMSEQ,1
cm.xpt,1,USUBJID,CDISC001
cm.xpt,1,POOLID,Not in dataset
cm.xpt,2,CMSEQ,2
cm.xpt,2,USUBJID,CDISC001
cm.xpt,2,POOLID,Not in dataset
cm.xpt,3,CMSEQ,1
cm.xpt,3,USUBJID,CDISC001
cm.xpt,3,POOLID,Not in dataset
cm.xpt,4,CMSEQ,2
cm.xpt,4,USUBJID,CDISC001
cm.xpt,4,POOLID,Not in dataset
cm.xpt,9,CMSEQ,1
cm.xpt,9,USUBJID,CDISC001
cm.xpt,9,POOLID,Not in dataset
cm.xpt,10,CMSEQ,1
cm.xpt,10,USUBJID,CDISC001
cm.xpt,10,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",1,LBSEQ,4
"lbae.xpt, lbds.xpt",1,USUBJID,CDISC001
"lbae.xpt, lbds.xpt",1,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",8,LBSEQ,1
"lbae.xpt, lbds.xpt",8,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",8,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",9,LBSEQ,2
"lbae.xpt, lbds.xpt",9,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",9,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",10,LBSEQ,3
"lbae.xpt, lbds.xpt",10,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",10,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",11,LBSEQ,4
"lbae.xpt, lbds.xpt",11,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",11,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",12,LBSEQ,5
"lbae.xpt, lbds.xpt",12,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",12,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",13,LBSEQ,6
"lbae.xpt, lbds.xpt",13,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",13,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",14,LBSEQ,7
"lbae.xpt, lbds.xpt",14,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",14,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",1,LBSEQ,4
"lbae.xpt, lbds.xpt",1,USUBJID,CDISC001
"lbae.xpt, lbds.xpt",1,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",8,LBSEQ,1
"lbae.xpt, lbds.xpt",8,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",8,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",9,LBSEQ,2
"lbae.xpt, lbds.xpt",9,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",9,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",10,LBSEQ,3
"lbae.xpt, lbds.xpt",10,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",10,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",11,LBSEQ,4
"lbae.xpt, lbds.xpt",11,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",11,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",12,LBSEQ,5
"lbae.xpt, lbds.xpt",12,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",12,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",13,LBSEQ,6
"lbae.xpt, lbds.xpt",13,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",13,POOLID,Not in dataset
"lbae.xpt, lbds.xpt",14,LBSEQ,7
"lbae.xpt, lbds.xpt",14,USUBJID,CDISC002
"lbae.xpt, lbds.xpt",14,POOLID,Not in dataset
