Dataset,Record,Variable,Value
DM,1,ARMCD,ZANOMALINE_LOW_DOSE_54_mg
DM,1,TXPARMCD,Not in dataset
DM,1,TXVAL,Not in dataset
DM,2,ARMCD,ZANOMALINE_LOW_DOSE_54_mg
DM,2,TXPARMCD,Not in dataset
DM,2,TXVAL,Not in dataset
DM,3,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
DM,3,TXPARMCD,Not in dataset
DM,3,TXVAL,Not in dataset
DM,5,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
DM,5,TXPARMCD,Not in dataset
DM,5,TXVAL,Not in dataset
DM,6,ARMCD,ZANOMALINE_LOW_DOSE_54_mg
DM,6,TXPARMCD,Not in dataset
DM,6,TXVAL,Not in dataset
DM,7,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
DM,7,TXPARMCD,Not in dataset
DM,7,TXVAL,Not in dataset
DM,10,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
DM,10,TXPARMCD,Not in dataset
DM,10,TXVAL,Not in dataset
DM,11,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
DM,11,TXPARMCD,Not in dataset
DM,11,TXVAL,Not in dataset
DM,14,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
DM,14,TXPARMCD,Not in dataset
DM,14,TXVAL,Not in dataset
DM,16,ARMCD,ZANOMALINE_LOW_DOSE_54_mg
DM,16,TXPARMCD,Not in dataset
DM,16,TXVAL,Not in dataset
DM,17,ARMCD,ZANOMALINE_LOW_DOSE_54_mg
DM,17,TXPARMCD,Not in dataset
DM,17,TXVAL,Not in dataset
DM,18,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
DM,18,TXPARMCD,Not in dataset
DM,18,TXVAL,Not in dataset
TA,3,ARMCD,ZANOMALINE_LOW_DOSE_54_mg
TA,3,TXPARMCD,Not in dataset
TA,3,TXVAL,Not in dataset
TA,4,ARMCD,ZANOMALINE_LOW_DOSE_54_mg
TA,4,TXPARMCD,Not in dataset
TA,4,TXVAL,Not in dataset
TA,5,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
TA,5,TXPARMCD,Not in dataset
TA,5,TXVAL,Not in dataset
TA,6,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
TA,6,TXPARMCD,Not in dataset
TA,6,TXVAL,Not in dataset
TA,7,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
TA,7,TXPARMCD,Not in dataset
TA,7,TXVAL,Not in dataset
TA,8,ARMCD,ZANOMALINE_HIGH_DOSE_81_mg
TA,8,TXPARMCD,Not in dataset
TA,8,TXVAL,Not in dataset
