Dataset,Record,Variable,Value
DM,1,ARMCD,ZAN_LOW
DM,1,ARM,Zanomaline Low Dose (54 mg)
DM,2,ARMCD,ZAN_LOW
DM,2,ARM,Zanomaline High Dose (81 mg)
TA,2,ARMCD,PLACEBO
TA,2,ARM,PlaceboA
TA,3,ARMCD,PLACEBO
TA,3,ARM,PlaceboB
TA,4,ARMCD,ZAN_LOW
TA,4,ARM,Zanomaline Low Dose (54 mg)1
TA,5,ARMCD,ZAN_LOW
TA,5,ARM,Zanomaline Low Dose (54 mg)2
TA,6,ARMCD,ZAN_HIGH
TA,6,ARM,Zanomaline High Dose (81 mg)1
TA,7,ARMCD,ZAN_HIGH
TA,7,ARM,Zanomaline High Dose (81 mg)2
TA,8,ARMCD,ZAN_HIGH
TA,8,ARM,Zanomaline High Dose (81 mg)3
TV,1,ARMCD,PLACEBO
TV,1,ARM,PlaceboA
TV,2,ARMCD,PLACEBO
TV,2,ARM,PlaceboB
TV,3,ARMCD,ZAN_LOW
TV,3,ARM,Zanomaline Low Dose (54 mg)1
TV,4,ARMCD,ZAN_LOW
TV,4,ARM,Zanomaline Low Dose (54 mg)2
