Dataset,Record,Variable,Value
OE,1,OELAT,RIGHT
OE,1,OELOC,Not in dataset
OE,2,OELAT,LEFT
OE,2,OELOC,Not in dataset
OE,3,OELAT,LEFT
OE,3,OELOC,Not in dataset
OE,4,OELAT,RIGHT
OE,4,OELOC,Not in dataset
OE,5,OELAT,LEFT
OE,5,OELOC,Not in dataset
OE,6,OELAT,LEFT
OE,6,OELOC,Not in dataset
OE,7,OELAT,RIGHT
OE,7,OELOC,Not in dataset
OE,8,OELAT,LEFT
OE,8,OELOC,Not in dataset
OE,9,OELAT,LEFT
OE,9,OELOC,Not in dataset
OE,10,OELAT,RIGHT
OE,10,OELOC,Not in dataset
OE,11,OELAT,LEFT
OE,11,OELOC,Not in dataset
OE,12,OELAT,LEFT
OE,12,OELOC,Not in dataset
OE,13,OELAT,RIGHT
OE,13,OELOC,Not in dataset
OE,14,OELAT,LEFT
OE,14,OELOC,Not in dataset
OE,15,OELAT,LEFT
OE,15,OELOC,Not in dataset
OE,16,OELAT,RIGHT
OE,16,OELOC,Not in dataset
OE,17,OELAT,LEFT
OE,17,OELOC,Not in dataset
OE,18,OELAT,LEFT
OE,18,OELOC,Not in dataset
OE,19,OELAT,RIGHT
OE,19,OELOC,Not in dataset
OE,20,OELAT,LEFT
OE,20,OELOC,Not in dataset
OE,21,OELAT,LEFT
OE,21,OELOC,Not in dataset
OE,22,OELAT,RIGHT
OE,22,OELOC,Not in dataset
OE,23,OELAT,LEFT
OE,23,OELOC,Not in dataset
OE,24,OELAT,RIGHT
OE,24,OELOC,Not in dataset
OE,25,OELAT,LEFT
OE,25,OELOC,Not in dataset
OE,26,OELAT,RIGHT
OE,26,OELOC,Not in dataset
OE,27,OELAT,LEFT
OE,27,OELOC,Not in dataset
OE,28,OELAT,RIGHT
OE,28,OELOC,Not in dataset
OE,29,OELAT,LEFT
OE,29,OELOC,Not in dataset
OE,30,OELAT,RIGHT
OE,30,OELOC,Not in dataset
OE,31,OELAT,LEFT
OE,31,OELOC,Not in dataset
OE,32,OELAT,RIGHT
OE,32,OELOC,Not in dataset
OE,33,OELAT,LEFT
OE,33,OELOC,Not in dataset
OE,34,OELAT,RIGHT
OE,34,OELOC,Not in dataset
OE,35,OELAT,LEFT
OE,35,OELOC,Not in dataset
OE,36,OELAT,RIGHT
OE,36,OELOC,Not in dataset
OE,37,OELAT,LEFT
OE,37,OELOC,Not in dataset
OE,38,OELAT,RIGHT
OE,38,OELOC,Not in dataset
OE,39,OELAT,LEFT
OE,39,OELOC,Not in dataset
OE,40,OELAT,RIGHT
OE,40,OELOC,Not in dataset
OE,41,OELAT,LEFT
