Dataset,Record,Variable,Value
LB,7,variable_name,LBORRES
LB,7,library_variable_data_type,Char
LB,7,variable_data_type,Num
LB,13,variable_name,LBCHENDY
LB,13,library_variable_data_type,Num
LB,13,variable_data_type,Char
LB,14,variable_name,LBDURATION
LB,14,library_variable_data_type,
LB,14,variable_data_type,Char
DM,1,variable_name,STUDYID
DM,1,library_variable_data_type,Char
DM,1,variable_data_type,Num
DM,7,variable_name,RFXSTDTC
DM,7,library_variable_data_type,Char
DM,7,variable_data_type,Num
DM,22,variable_name,COUNTRY
DM,22,library_variable_data_type,Char
DM,22,variable_data_type,Num
XY,4,variable_name,XYSEQ
XY,4,library_variable_data_type,Num
XY,4,variable_data_type,Char
XY,12,variable_name,XYDY
XY,12,library_variable_data_type,Num
XY,12,variable_data_type,Char
