Dataset,Record,Variable,Value
DU,1,DUREASND,REASON 1
DU,1,DUSTAT,
DU,2,DUREASND,REASON 2
DU,2,DUSTAT,
DU,3,DUREASND,REASON 3
DU,3,DUSTAT,
DU,4,DUREASND,REASON 4
DU,4,DUSTAT,
DU,5,DUREASND,REASON 5
DU,5,DUSTAT,Not Done
DU,6,DUREASND,REASON 6
DU,6,DUSTAT,
DU,7,DUREASND,REASON 7
DU,7,DUSTAT,
DU,8,DUREASND,REASON 8
DU,8,DUSTAT,Never
DU,9,DUREASND,REASON 9
DU,9,DUSTAT,
DU,10,DUREASND,REASON 10
DU,10,DUSTAT,
DU,11,DUREASND,REASON 11
DU,11,DUSTAT,
DU,12,DUREASND,REASON 12
DU,12,DUSTAT,
DU,13,DUREASND,REASON 13
DU,13,DUSTAT,
DU,14,DUREASND,REASON 14
DU,14,DUSTAT,
DU,15,DUREASND,REASON 15
DU,15,DUSTAT,
DU,16,DUREASND,REASON 16
DU,16,DUSTAT,
DU,17,DUREASND,REASON 17
DU,17,DUSTAT,
DU,18,DUREASND,REASON 18
DU,18,DUSTAT,
