Dataset,Record,Variable,Value
VS,1,VISITNUM,Not in dataset
VS,1,VSTPT,10MIN POSTDOSE
VS,1,VSTPTNUM,
VS,1,VSTPTREF,Not in dataset
VS,3,VISITNUM,Not in dataset
VS,3,VSTPT,PREDOSE
VS,3,VSTPTNUM,
VS,3,VSTPTREF,Not in dataset
VS,4,VISITNUM,Not in dataset
VS,4,VSTPT,PREDOSE
VS,4,VSTPTNUM,-1.0
VS,4,VSTPTREF,Not in dataset
VS,5,VISITNUM,Not in dataset
VS,5,VSTPT,10MIN POSTDOSE
VS,5,VSTPTNUM,5.0
VS,5,VSTPTREF,Not in dataset
VS,6,VISITNUM,Not in dataset
VS,6,VSTPT,5MIN POSTDOSE
VS,6,VSTPTNUM,5.0
VS,6,VSTPTREF,Not in dataset
