Dataset,Record,Variable,Value
DM,2,DMDTC,Not in dataset
DM,2,DMDY,Not in dataset
DM,2,RFSTDTC,2005-10
DM,3,DMDTC,Not in dataset
DM,3,DMDY,Not in dataset
DM,3,RFSTDTC,
DM,4,DMDTC,Not in dataset
DM,4,DMDY,Not in dataset
DM,4,RFSTDTC,
DM,5,DMDTC,Not in dataset
DM,5,DMDY,Not in dataset
DM,5,RFSTDTC,
LB,1,LBDTC,2005-09
LB,1,LBDY,
LB,1,RFSTDTC,2005-10-13T10:15
LB,2,LBDTC,2005-10
LB,2,LBDY,
LB,2,RFSTDTC,2005-10-13T10:15
LB,17,LBDTC,2006-03-16
LB,17,LBDY,
LB,17,RFSTDTC,2005-10
LB,18,LBDTC,2006-03-17
LB,18,LBDY,
LB,18,RFSTDTC,2005-10
LB,19,LBDTC,2006-03-18
LB,19,LBDY,
LB,19,RFSTDTC,2005-10
LB,20,LBDTC,2006-03-19
LB,20,LBDY,
LB,20,RFSTDTC,2005-10
LB,21,LBDTC,2006-03-20
LB,21,LBDY,
LB,21,RFSTDTC,2005-10
LB,22,LBDTC,2006-03-21
LB,22,LBDY,
LB,22,RFSTDTC,2005-10
LB,23,LBDTC,2006-03-22
LB,23,LBDY,
LB,23,RFSTDTC,2005-10
LB,24,LBDTC,2006-03-23
LB,24,LBDY,
LB,24,RFSTDTC,2005-10
LB,25,LBDTC,2006-03-24
LB,25,LBDY,
LB,25,RFSTDTC,2005-10
LB,26,LBDTC,2006-03-25
LB,26,LBDY,
LB,26,RFSTDTC,2005-10
LB,27,LBDTC,2006-03-26
LB,27,LBDY,
LB,27,RFSTDTC,2005-10
LB,28,LBDTC,2006-03-27
LB,28,LBDY,
LB,28,RFSTDTC,2005-10
LB,29,LBDTC,2006-03-28
LB,29,LBDY,
LB,29,RFSTDTC,2005-10
LB,30,LBDTC,2006-03-29
LB,30,LBDY,
LB,30,RFSTDTC,2005-10
LB,31,LBDTC,2006-03-30
LB,31,LBDY,
LB,31,RFSTDTC,2005-10
LB,32,LBDTC,2005-10-02
LB,32,LBDY,
LB,32,RFSTDTC,2005-10
LB,33,LBDTC,2005-10-03
LB,33,LBDY,
LB,33,RFSTDTC,2005-10
LB,34,LBDTC,2005-10-04
LB,34,LBDY,
LB,34,RFSTDTC,2005-10
LB,35,LBDTC,2005-10-05
LB,35,LBDY,
LB,35,RFSTDTC,2005-10
LB,36,LBDTC,2005-10-06
LB,36,LBDY,
LB,36,RFSTDTC,2005-10
LB,37,LBDTC,2005-10-07
LB,37,LBDY,
LB,37,RFSTDTC,2005-10
LB,38,LBDTC,2005-10-08
LB,38,LBDY,
LB,38,RFSTDTC,2005-10
LB,39,LBDTC,2005-10-09
LB,39,LBDY,
LB,39,RFSTDTC,2005-10
LB,40,LBDTC,2005-10-10
LB,40,LBDY,
LB,40,RFSTDTC,2005-10
LB,41,LBDTC,2005-10-11
LB,41,LBDY,
LB,41,RFSTDTC,2005-10
LB,42,LBDTC,2005-10-12
LB,42,LBDY,
LB,42,RFSTDTC,2005-10
LB,43,LBDTC,2005-10-13
LB,43,LBDY,
LB,43,RFSTDTC,2005-10
LB,44,LBDTC,2005-10-14
LB,44,LBDY,
LB,44,RFSTDTC,2005-10
LB,45,LBDTC,2005-10-15
LB,45,LBDY,
LB,45,RFSTDTC,2005-10
LB,46,LBDTC,2005-10-16
LB,46,LBDY,
LB,46,RFSTDTC,2005-10
